  z                 v                vq               dif
   14.2774706      0.349928319      0.350202084       7.81731904E-02
   14.3068237      0.349211395      0.349483579       7.78819472E-02
   14.3361759      0.348497838      0.348768055       7.74777532E-02
   14.3655291      0.347786486      0.348055393       7.72596449E-02
   14.3948822      0.347078413      0.347345680       7.69456029E-02
   14.4242353      0.346372992      0.346638829       7.66898245E-02
   14.4535875      0.345670909      0.345934868       7.63031393E-02
   14.4829407      0.344971418      0.345233768       7.59919435E-02
   14.5122938      0.344274372      0.344535470       7.57826641E-02
   14.5416470      0.343580782      0.343840003       7.53898919E-02
   14.5710001      0.342889696      0.343147337       7.50817657E-02
   14.6003523      0.342201352      0.342457503       7.47978836E-02
   14.6297054      0.341515660      0.341770381       7.45297000E-02
   14.6590586      0.340832859      0.341086030       7.42248893E-02
   14.6884117      0.340152681      0.340404391       7.39445239E-02
   14.7177649      0.339475155      0.339725494       7.36887604E-02
   14.7471170      0.338800520      0.339049309       7.33786449E-02
   14.7764702      0.338128567      0.338375807       7.30667114E-02
   14.8058233      0.337459207      0.337704957       7.27706105E-02
   14.8351765      0.336792320      0.337036759       7.25258142E-02
   14.8645287      0.336128175      0.336371243       7.22617507E-02
   14.8938818      0.335466683      0.335708320       7.19783232E-02
   14.9232349      0.334807754      0.335047990       7.17021227E-02
   14.9525881      0.334151328      0.334390283       7.14599192E-02
   14.9819412      0.333497614      0.333735108       7.11626410E-02
   15.0112934      0.332846552      0.333082557       7.08546862E-02
   15.0406466      0.332197875      0.332432508       7.05808476E-02
   15.0699997      0.331551582      0.331785023       7.03592896E-02
   15.0993528      0.330908060      0.331140012       7.00463429E-02
   15.1287060      0.330266774      0.330497533       6.98218197E-02
   15.1580582      0.329628319      0.329857558       6.94965050E-02
   15.1874113      0.328991950      0.329220027       6.92780390E-02
   15.2167645      0.328358233      0.328584969       6.90037832E-02
   15.2461176      0.327726781      0.327952355       6.87824860E-02
   15.2754707      0.327097952      0.327322155       6.84960857E-02
   15.3048229      0.326471567      0.326694399       6.82080761E-02
   15.3341761      0.325847387      0.326069027       6.79733008E-02
